version,module_hint,address_hex,address_int,name,rel_file,line,signature,tag_rest
1.00,D2Common,0x10056EC0,268791488,PATH_AStar_ComputePath,source/D2Common/src/Path/AStar.cpp,127,int __fastcall PATH_AStar_ComputePath(D2PathInfoStrc* pPathInfo) {,
1.00,D2Common,0x10057A10,268794384,PATH_AStar_FindPointInVisitedCache,source/D2Common/include/Path/AStar.h,62,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_FindPointInVisitedCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint);",
1.00,D2Common,0x10057A10,268794384,PATH_AStar_FindPointInVisitedCache,source/D2Common/src/Path/AStar.cpp,279,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_FindPointInVisitedCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint) {",
1.00,D2Common,0x10057A10,268794384,PATH_AStar_GetNodeFromPendingCache,source/D2Common/include/Path/AStar.h,58,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_GetNodeFromPendingCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint);",
1.00,D2Common,0x10057A10,268794384,PATH_AStar_GetNodeFromPendingCache,source/D2Common/src/Path/AStar.cpp,261,"D2PathFoWallNodeStrc* __fastcall PATH_AStar_GetNodeFromPendingCache(D2PathFoWallContextStrc* pContext, D2PathPointStrc tPathPoint) {",
1.00,D2Common,0x10059110,268800272,D2Common_10142,source/D2Common/include/Path/Path.h,230,"D2COMMON_DLL_DECL int __stdcall D2Common_10142(D2DynamicPathStrc* pPath, D2UnitStrc* pUnit, int bAllowInTown);",(#10141)
1.00,D2Common,0x10059110,268800272,D2Common_10142,source/D2Common/src/Path/Path.cpp,350,"int __stdcall D2Common_10142(D2DynamicPathStrc* pPath, D2UnitStrc* pUnit, int bAllowInTown) {",(#10141)
1.00,D2Common,0x1005B6D0,268809936,sub_6FDAA880,source/D2Common/src/Path/PathMisc.cpp,158,"BOOL __fastcall sub_6FDAA880(D2PathInfoStrc* pPathInfo, int* pTestDir, D2PathPointStrc pPoint, int* pDirection) {",
1.00,D2Common,0x1005B890,268810384,PATH_Toward_6FDAA9F0,source/D2Common/src/Path/PathMisc.cpp,265,int __fastcall PATH_Toward_6FDAA9F0(D2PathInfoStrc *pPathInfo) {,
1.00,D2Common,0x1005BB30,268811056,PATH_CheckCollisionsToNextPosition,source/D2Common/include/Path/PathMisc.h,33,"BOOL __fastcall PATH_CheckCollisionsToNextPosition(D2DynamicPathStrc* pDynamicPath, D2PathPointStrc* pGameCoord);",
1.00,D2Common,0x1005BB30,268811056,PATH_CheckCollisionsToNextPosition,source/D2Common/src/Path/PathMisc.cpp,338,"BOOL __fastcall PATH_CheckCollisionsToNextPosition(D2DynamicPathStrc* pDynamicPath, D2PathPointStrc* pGameCoord) {",
