function_id,name,tier,confidence,export_name,signature,Classic/1.00,Classic/1.01,Classic/1.02,Classic/1.03,Classic/1.04b,Classic/1.04c,Classic/1.05,Classic/1.05b,Classic/1.06,Classic/1.06b,Classic/1.08,Classic/1.09,Classic/1.09b,Classic/1.09d,Classic/1.10,Classic/1.11,Classic/1.11b,Classic/1.12a,Classic/1.13c,Classic/1.13d,LoD/1.07,LoD/1.08,LoD/1.09,LoD/1.09b,LoD/1.09d,LoD/1.10,LoD/1.11,LoD/1.11b,LoD/1.12a,LoD/1.13c,LoD/1.13d
func_00001,QueryInterface,1,0.99,QueryInterface,undefined * * QueryInterface(void),0x10001014,0x10001014,0x10001019,0x10001014,0x6fb611b0,0x6fb611b0,0x6fb611b0,0x6fb611b0,0x6fb611b0,0x6fb611b0,0x6fad11d0,0x6faa11d0,0x6faa11d0,0x6faa11d0,0x6faa11c0,0x6fb491b0,0x6faff4e0,0x6fb535d0,0x6fafbe70,0x6fad7470,0x6fad11d0,0x6fad11d0,0x6faa11d0,0x6faa11d0,0x6faa11d0,0x6faa11c0,0x6fb491b0,0x6faff4e0,0x6fb535d0,0x6fafbe70,0x6fad7470
func_00002,GetSecurityValidationFlag,1,0.99,Ordinal_10001,DWORD GetSecurityValidationFlag(void),0x10002e8c,0x10002e9b,0x10002eb4,0x10002ec3,0x6fb750b0,0x6fb750b0,0x6fb75090,0x6fb75090,0x6fb750a0,0x6fb750a0,0x6fae7a20,0x6fab7bb0,0x6fab7bb0,0x6fab7ba0,0x6fab8ee0,0x6fb21610,0x6fb344b0,0x6fb4e980,0x6fb12e20,0x6fb36010,0x6fae8170,0x6fae7a20,0x6fab7bb0,0x6fab7bb0,0x6fab7ba0,0x6fab8ee0,0x6fb21610,0x6fb344b0,0x6fb4e980,0x6fb12e20,0x6fb36010
func_00003,GetDifficultySettings,1,0.99,Ordinal_10002,"uchar GetDifficultySettings(uint dwUnused, int nDifficultyIndex)",0x10001c8a,0x10001c99,0x10001ca8,0x10001cad,0x6fb750c0,0x6fb750c0,0x6fb750a0,0x6fb750a0,0x6fb750b0,0x6fb750b0,0x6fae7a30,0x6fab7bc0,0x6fab7bc0,0x6fab7bb0,0x6fab8ef0,0x6fb215d0,0x6fb34470,0x6fb4e940,0x6fb12de0,0x6fb35fd0,0x6fae8180,0x6fae7a30,0x6fab7bc0,0x6fab7bc0,0x6fab7bb0,0x6fab8ef0,0x6fb215d0,0x6fb34470,0x6fb4e940,0x6fb12de0,0x6fb35fd0
func_00004,InitializeAndCleanupResource,1,0.99,Ordinal_10003,void InitializeAndCleanupResource(void),0x10001393,0x1000139d,0x100013ac,0x10001398,0x6fb61b30,0x6fb61b30,0x6fb61b30,0x6fb61b30,0x6fb61b30,0x6fb61b30,0x6fad1e60,0x6faa1f10,0x6faa1f10,0x6faa1f10,0x6faa1f50,0x6fb066f0,0x6fae6ab0,0x6fac2100,0x6fac08c0,0x6fadbcf0,0x6fad1e50,0x6fad1e60,0x6faa1f10,0x6faa1f10,0x6faa1f10,0x6faa1f50,0x6fb066f0,0x6fae6ab0,0x6fac2100,0x6fac08c0,0x6fadbcf0
func_22635,func_22635,2,0.9,,,0x1007a010,0x1007a140,0x1007a4e0,0x1007ab30,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22636,func_22636,2,0.9,,,0x10007d00,0x10007d10,0x10007d50,0x10007da0,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22637,func_22637,2,0.9,,,0x1001e050,0x1001dcc0,0x1001d700,0x1001de00,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22638,func_22638,2,0.9,,,0x10006060,0x10006060,0x10006080,0x100060d0,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22639,func_22639,2,0.9,,,0x10014280,0x10014220,0x100137f0,0x10013840,0x6fb6ab00,0x6fb6ab00,0x6fb6a900,0x6fb6a900,0x6fb6aab0,0x6fb6a8d0,0x6fadc6a0,0x6faac790,0x6faac790,0x6faac780,0x6faace10,,,,,,0x6fadc6f0,0x6fadc6a0,0x6faac790,0x6faac790,0x6faac780,0x6faace10,,,,,
func_22640,func_22640,2,0.9,,,0x100b4080,0x100b42d0,0x100b4730,,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22641,func_22641,2,0.9,,,0x100c0090,0x100c03c0,0x100c0820,0x100c0ea0,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22642,func_22642,2,0.9,,,0x1003c0a0,0x1003bcc0,0x1003b8f0,0x1003c810,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22643,func_22643,2,0.9,,,0x1009c0a0,0x1009c2a0,0x1009c730,0x1009cd60,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22644,func_22644,2,0.9,,,0x10014620,0x10013f00,0x10013920,0x10013970,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22645,func_22645,2,0.9,,,0x1003c0c0,0x1003bce0,0x1003b910,0x1003c830,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22646,func_22646,2,0.9,,,0x100334b0,0x1003bd00,0x1003b930,0x100336f0,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22647,func_22647,2,0.9,,,0x1003c100,0x1003bd20,0x1003b950,0x1003c870,0x6fb891d0,0x6fb891d0,0x6fb89210,0x6fb89210,0x6fb89130,0x6fb89130,0x6fb010c0,0x6fad1580,0x6fad1580,0x6fad1570,0x6fad7f90,,,,,,0x6fb017a0,0x6fb010c0,0x6fad1580,0x6fad1580,0x6fad1570,0x6fad7f90,,,,,
func_22648,func_22648,2,0.9,,,0x100da105,0x100da4d5,0x100da916,0x100dafd6,,,,,,,0x6fb9a08d,0x6fb6aa9d,0x6fb6aa9d,0x6fb69e1d,0x6fb6a1fd,,,,,,0x6fb9adee,0x6fb9a08d,0x6fb6aa9d,0x6fb6aa9d,0x6fb69e1d,0x6fb6a1fd,,,,,
func_22649,func_22649,2,0.9,,,0x1003c130,0x1003bd50,0x1003b980,0x1003c8a0,0x6fb891f0,0x6fb891f0,0x6fb89230,0x6fb89230,0x6fb89150,0x6fb89150,0x6fb010e0,0x6fad15a0,0x6fad15a0,0x6fad1590,0x6fad7fb0,,,,,,0x6fb017c0,0x6fb010e0,0x6fad15a0,0x6fad15a0,0x6fad1590,0x6fad7fb0,,,,,
func_22650,func_22650,2,0.9,,,0x1005a130,0x1005a030,0x10059e60,0x1005ae50,,,,,,,,,,,,,,,,,,,,,,,,,,,
func_22651,func_22651,2,0.9,,,0x1007a130,0x1007a260,0x1007a600,0x1007ac50,,,,,,,,,,,,,,,,,,,,,,,,,,,
