DLL,Total Functions,Named,Naming %
Binkw32.dll,309,308,99.7%
Bnclient.dll,580,399,68.8%
D2CMP.dll,734,556,75.7%
D2Client.dll,3339,1607,48.1%
D2Common.dll,2671,1865,69.8%
D2DDraw.dll,290,136,46.9%
D2Direct3D.dll,376,138,36.7%
D2Game.dll,4016,285,7.1%
D2Gdi.dll,205,102,49.8%
D2Gfx.dll,373,206,55.2%
D2Glide.dll,372,140,37.6%
D2Lang.dll,363,336,92.6%
D2Launch.dll,451,157,34.8%
D2MCPClient.dll,203,123,60.6%
D2Multi.dll,370,137,37.0%
D2Net.dll,207,122,58.9%
D2Sound.dll,397,353,88.9%
D2VidTst.exe,437,213,48.7%
D2Win.dll,585,326,55.7%
Diablo II.exe,60,10,16.7%
Fog.dll,983,790,80.4%
Game.exe,8803,658,7.5%
Ijl11.dll,323,27,8.4%
SmackW32.dll,179,81,45.3%
Storm.dll,1578,1067,67.6%
