dll_name,total_functions,named_functions,tier_1,tier_2,tier_3,tier_4,versions
Binkw32.dll,155,110,83,58,14,0,39
Bnclient.dll,1216,134,24,615,570,7,31
D2Client.dll,10489,902,4,5670,4721,94,31
D2CMP.dll,695,160,107,323,264,1,31
D2Common.dll,4125,1436,1299,1432,1333,61,31
D2DDraw.dll,146,16,1,90,55,0,31
D2Direct3D.dll,352,1,1,193,155,3,31
D2Game.dll,6342,614,63,3648,2486,145,31
D2Gdi.dll,185,7,4,78,103,0,31
D2gfx.dll,305,107,90,154,60,1,31
D2Glide.dll,402,1,1,225,176,0,31
D2Lang.dll,228,67,63,98,63,4,31
D2Launch.dll,810,80,1,340,447,22,31
D2MCPClient.dll,246,83,63,147,27,9,31
D2Multi.dll,676,72,1,416,254,5,31
D2Net.dll,151,45,41,72,35,3,31
D2sound.dll,206,84,71,94,41,0,31
D2Win.dll,622,238,216,232,168,6,31
Fog.dll,985,321,267,371,302,45,31
Game.exe,20368,27,23,7660,11068,1617,32
Ijl11.dll,51,2,2,21,28,0,39
SmackW32.dll,78,64,61,14,3,0,39
Storm.dll,1910,530,361,964,585,0,31
